               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.021418,            0.019929,           0.0016365,             0.86518,             0.85331,             0.89086,             0.57751,            0.026538,             0.01838,           0.0032366,            0.001387,            0.001387,            0.001387
                  89,            0.022033,            0.020288,           0.0016406,             0.87455,             0.84649,             0.89008,             0.59108,            0.026608,            0.018631,           0.0027667,            0.001288,            0.001288,            0.001288
                  90,            0.020805,            0.019964,           0.0010272,             0.90529,             0.82746,             0.89769,             0.59701,            0.026329,            0.018465,           0.0027296,            0.001189,            0.001189,            0.001189
                  91,            0.021259,            0.019865,           0.0015644,             0.87209,             0.83625,              0.8924,             0.58421,             0.02698,            0.018678,             0.00273,             0.00109,             0.00109,             0.00109
                  92,            0.021054,            0.021542,           0.0013841,             0.86501,             0.84793,             0.88807,             0.58182,             0.02722,            0.018678,           0.0028821,            0.000991,            0.000991,            0.000991
                  93,             0.02085,            0.020578,           0.0011709,              0.8903,             0.81814,             0.88688,             0.58327,            0.027017,            0.018724,           0.0028741,            0.000892,            0.000892,            0.000892
                  94,            0.021654,            0.022845,           0.0013968,             0.87558,             0.83897,             0.88199,             0.58572,            0.026468,            0.018457,           0.0031322,            0.000793,            0.000793,            0.000793
                  95,            0.020841,             0.01887,           0.0014127,             0.92624,             0.84218,             0.89959,              0.5978,            0.026488,            0.018445,           0.0026544,            0.000694,            0.000694,            0.000694
                  96,             0.02107,            0.019605,           0.0014356,             0.90207,             0.84581,             0.90213,             0.59065,            0.026908,            0.018608,           0.0026716,            0.000595,            0.000595,            0.000595
                  97,            0.019683,            0.019549,           0.0013406,             0.90747,             0.82074,             0.90007,             0.60237,            0.026413,            0.018412,           0.0026607,            0.000496,            0.000496,            0.000496
                  98,            0.021459,            0.020187,           0.0015576,               0.934,             0.80634,             0.89238,              0.5907,            0.026876,            0.018608,           0.0027837,            0.000397,            0.000397,            0.000397
                  99,            0.021812,            0.022972,           0.0019056,             0.93629,             0.81064,              0.8908,             0.59112,            0.026761,            0.018558,           0.0028182,            0.000298,            0.000298,            0.000298
